pathway_id	pathway_description	pvalue	hub_gene	comparison
M4391	PEREZ_TP53_TARGETS	0.005994005994005994	SLC7A7	PBTA_HGG
M13265	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.006993006993006993	ZNF212	PBTA_HGG
M13088	KEGG_PPAR_SIGNALING_PATHWAY	0.006993006993006993	PRKCZ	PBTA_HGG
M4844	KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.006993006993006993	PRKAR1B	PBTA_HGG
M2642	KEGG_TGF_BETA_SIGNALING_PATHWAY	0.006993006993006993	ANXA5	PBTA_HGG
M11816	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.006993006993006993	PIEZO1	PBTA_HGG
M19708	KEGG_TYPE_II_DIABETES_MELLITUS	0.006993006993006993	FIG4	PBTA_HGG
M15798	KEGG_MELANOMA	0.006993006993006993	DCC	PBTA_HGG
M2623	BIOCARTA_IGF1_PATHWAY	0.006993006993006993	DRG2	PBTA_HGG
M295	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.006993006993006993	DCTD	PBTA_HGG
M1	PID_FANCONI_PATHWAY	0.006993006993006993	SNRPB2	PBTA_HGG
M19	PID_P73PATHWAY	0.006993006993006993	P2RX6	PBTA_HGG
M30	PID_HDAC_CLASSII_PATHWAY	0.006993006993006993	ALOX5AP	PBTA_HGG
M40	PID_E2F_PATHWAY	0.006993006993006993	DCTD	PBTA_HGG
M54	PID_IL12_2PATHWAY	0.006993006993006993	AKT2	PBTA_HGG
M122	PID_IL2_1PATHWAY	0.006993006993006993	SLC35B1	PBTA_HGG
M145	PID_P53_DOWNSTREAM_PATHWAY	0.006993006993006993	AP2M1	PBTA_HGG
M181	PID_BMP_PATHWAY	0.006993006993006993	ITPR3	PBTA_HGG
M186	PID_PDGFRB_PATHWAY	0.006993006993006993	GALK1	PBTA_HGG
M236	PID_DELTA_NP63_PATHWAY	0.006993006993006993	PAPSS2	PBTA_HGG
M256	PID_TAP63_PATHWAY	0.006993006993006993	GALNT2	PBTA_HGG
M563	REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.006993006993006993	DCTD	PBTA_HGG
M695	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.006993006993006993	ACSL1	PBTA_HGG
M18334	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.006993006993006993	RNF10	PBTA_HGG
M752	REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	0.006993006993006993	CAPZB	PBTA_HGG
M777	REACTOME_METABOLISM_OF_NUCLEOTIDES	0.006993006993006993	CYP51A1	PBTA_HGG
M14033	REACTOME_MRNA_SPLICING	0.006993006993006993	BTK	PBTA_HGG
M10775	REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.006993006993006993	SGK1	PBTA_HGG
M2341	REACTOME_APOPTOTIC_EXECUTION_PHASE	0.006993006993006993	DDR1	PBTA_HGG
M16909	PARENT_MTOR_SIGNALING_UP	0.006993006993006993	MYO6	PBTA_HGG
M12730	KORKOLA_EMBRYONAL_CARCINOMA_UP	0.006993006993006993	APEX1	PBTA_HGG
M4502	GAL_LEUKEMIC_STEM_CELL_DN	0.006993006993006993	USF2	PBTA_HGG
M19590	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	0.006993006993006993	HNRNPK	PBTA_HGG
M19930	BILBAN_B_CLL_LPL_UP	0.006993006993006993	ZNF76	PBTA_HGG
M14698	HOEBEKE_LYMPHOID_STEM_CELL_UP	0.006993006993006993	IL12RB1	PBTA_HGG
M19629	MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN	0.006993006993006993	ST3GAL6	PBTA_HGG
M14973	SENESE_HDAC1_TARGETS_UP	0.006993006993006993	SELPLG	PBTA_HGG
M9948	KIM_WT1_TARGETS_8HR_DN	0.006993006993006993	HCLS1	PBTA_HGG
M15535	KIM_WT1_TARGETS_12HR_UP	0.006993006993006993	SLC7A7	PBTA_HGG
M10501	RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP	0.006993006993006993	DOCK4	PBTA_HGG
M9814	RODRIGUES_THYROID_CARCINOMA_DN	0.006993006993006993	BTD	PBTA_HGG
M10156	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.006993006993006993	GDI1	PBTA_HGG
M6856	KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.007992007992007992	AKT2	PBTA_HGG
M13486	KEGG_HUNTINGTONS_DISEASE	0.007992007992007992	AP2M1	PBTA_HGG
M19118	BIOCARTA_KERATINOCYTE_PATHWAY	0.007992007992007992	FIG4	PBTA_HGG
M3618	BIOCARTA_TNFR1_PATHWAY	0.007992007992007992	CYP21A2	PBTA_HGG
M17	PID_NOTCH_PATHWAY	0.007992007992007992	AP1B1	PBTA_HGG
M28	PID_IL4_2PATHWAY	0.007992007992007992	HRH1	PBTA_HGG
M127	PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.007992007992007992	CXCL2	PBTA_HGG
M3574	REACTOME_SIGNALLING_BY_NGF	0.007992007992007992	CAPZB	PBTA_HGG
M616	REACTOME_SIGNALING_BY_NOTCH1	0.007992007992007992	GALNT2	PBTA_HGG
M705	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.007992007992007992	CAPZB	PBTA_HGG
M3444	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.007992007992007992	CSF2RA	PBTA_HGG
M779	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.007992007992007992	DCTD	PBTA_HGG
M806	REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.007992007992007992	PTPRB	PBTA_HGG
M15303	REACTOME_APOPTOSIS	0.007992007992007992	AGPAT1	PBTA_HGG
M12795	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	0.007992007992007992	TFG	PBTA_HGG
M12674	WANG_LMO4_TARGETS_DN	0.007992007992007992	CYBB	PBTA_HGG
M17094	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	0.007992007992007992	P2RX4	PBTA_HGG
M1859	RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	0.007992007992007992	BTK	PBTA_HGG
M250	ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	0.007992007992007992	DOCK4	PBTA_HGG
M19062	DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.007992007992007992	MYO6	PBTA_HGG
M12212	WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.007992007992007992	APEH	PBTA_HGG
M13008	DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN	0.007992007992007992	UBE2A	PBTA_HGG
M4008	FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.007992007992007992	SLC7A7	PBTA_HGG
M7098	KEGG_ECM_RECEPTOR_INTERACTION	0.008991008991008992	APOC2	PBTA_HGG
M19358	BIOCARTA_MET_PATHWAY	0.008991008991008992	DCC	PBTA_HGG
M113	PID_NFAT_3PATHWAY	0.008991008991008992	TROAP	PBTA_HGG
M597	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.008991008991008992	NEDD9	PBTA_HGG
M631	REACTOME_COLLAGEN_FORMATION	0.008991008991008992	MCL1	PBTA_HGG
M8256	REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.008991008991008992	USF2	PBTA_HGG
M2049	REACTOME_SIGNALING_BY_PDGF	0.008991008991008992	DCTD	PBTA_HGG
M17386	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.008991008991008992	ATP1B1	PBTA_HGG
M976	REACTOME_GABA_RECEPTOR_ACTIVATION	0.008991008991008992	UBE2L6	PBTA_HGG
M1008	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	0.008991008991008992	FANCG	PBTA_HGG
M7494	REACTOME_TOLL_RECEPTOR_CASCADES	0.008991008991008992	RNF13	PBTA_HGG
M2427	NAKAMURA_CANCER_MICROENVIRONMENT_DN	0.008991008991008992	CCT6A	PBTA_HGG
M1260	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	0.008991008991008992	BTD	PBTA_HGG
M12490	ONKEN_UVEAL_MELANOMA_UP	0.008991008991008992	RNASET2	PBTA_HGG
M17471	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.008991008991008992	SERPINB1	PBTA_HGG
M17693	GARY_CD5_TARGETS_UP	0.008991008991008992	IL6R	PBTA_HGG
M8455	HOOI_ST7_TARGETS_UP	0.008991008991008992	RNASET2	PBTA_HGG
M3654	THUM_SYSTOLIC_HEART_FAILURE_UP	0.008991008991008992	AP1B1	PBTA_HGG
M18855	VECCHI_GASTRIC_CANCER_EARLY_UP	0.008991008991008992	SLC11A2	PBTA_HGG
M986	SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	0.008991008991008992	CD33	PBTA_HGG
M4100	PROVENZANI_METASTASIS_UP	0.008991008991008992	CSF2RA	PBTA_HGG
M3898	ENK_UV_RESPONSE_KERATINOCYTE_DN	0.008991008991008992	DAG1	PBTA_HGG
M19540	KEGG_OXIDATIVE_PHOSPHORYLATION	0.00999000999000999	CSF2RA	PBTA_HGG
M2890	KEGG_CALCIUM_SIGNALING_PATHWAY	0.00999000999000999	BCL7B	PBTA_HGG
M16817	KEGG_OOCYTE_MEIOSIS	0.00999000999000999	BNIP1	PBTA_HGG
M17673	KEGG_CARDIAC_MUSCLE_CONTRACTION	0.00999000999000999	CIRBP	PBTA_HGG
M13863	BIOCARTA_MAPK_PATHWAY	0.00999000999000999	BLOC1S1	PBTA_HGG
M13	PID_ERBB4_PATHWAY	0.00999000999000999	PLK3	PBTA_HGG
M229	PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	0.00999000999000999	INA	PBTA_HGG
M11215	REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.00999000999000999	PIK3R2	PBTA_HGG
M9400	REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.00999000999000999	AP2M1	PBTA_HGG
M797	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.00999000999000999	STS	PBTA_HGG
M13104	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	0.00999000999000999	APOE	PBTA_HGG
M3766	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	0.00999000999000999	HNRNPA2B1	PBTA_HGG
M8077	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	0.00999000999000999	CCND1	PBTA_HGG
M12812	GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	0.00999000999000999	ATP6AP1	PBTA_HGG
M19488	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	0.00999000999000999	ATP6V1B2	PBTA_HGG
M3909	UDAYAKUMAR_MED1_TARGETS_UP	0.00999000999000999	SERPINB6	PBTA_HGG
M2506	LEE_NEURAL_CREST_STEM_CELL_UP	0.00999000999000999	ATP1A3	PBTA_HGG
M10175	ELVIDGE_HYPOXIA_DN	0.00999000999000999	FCGR1A	PBTA_HGG
M10791	ENK_UV_RESPONSE_KERATINOCYTE_UP	0.00999000999000999	AP1B1	PBTA_HGG
M17312	ZIRN_TRETINOIN_RESPONSE_WT1_UP	0.00999000999000999	CD33	PBTA_HGG
M9575	WAKASUGI_HAVE_ZNF143_BINDING_SITES	0.00999000999000999	FADS2	PBTA_HGG
M1065	MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER	0.00999000999000999	TDG	PBTA_HGG
M19428	KEGG_WNT_SIGNALING_PATHWAY	0.01098901098901099	DOCK2	PBTA_HGG
M9904	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.01098901098901099	FIG4	PBTA_HGG
M12095	BIOCARTA_IL1R_PATHWAY	0.01098901098901099	SDHD	PBTA_HGG
M258	PID_BARD1_PATHWAY	0.01098901098901099	PCSK2	PBTA_HGG
M608	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.01098901098901099	DCTD	PBTA_HGG
M18437	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.01098901098901099	USP20	PBTA_HGG
M4904	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.01098901098901099	RNF10	PBTA_HGG
M8395	REACTOME_HEMOSTASIS	0.01098901098901099	TTLL4	PBTA_HGG
M1060	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.01098901098901099	DAB2	PBTA_HGG
M4752	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	0.01098901098901099	ATP6AP1	PBTA_HGG
M3045	CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	0.01098901098901099	HLA-E	PBTA_HGG
M3258	LIU_TARGETS_OF_VMYB_VS_CMYB_DN	0.01098901098901099	NRDC	PBTA_HGG
M10236	BORCZUK_MALIGNANT_MESOTHELIOMA_UP	0.01098901098901099	CSF3R	PBTA_HGG
M3645	DELYS_THYROID_CANCER_UP	0.01098901098901099	ARL1	PBTA_HGG
M14594	LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN	0.01098901098901099	PEPD	PBTA_HGG
M19877	KEGG_ENDOMETRIAL_CANCER	0.011988011988011988	PRKAR1B	PBTA_HGG
M8626	SIG_BCR_SIGNALING_PATHWAY	0.011988011988011988	DCC	PBTA_HGG
M44	PID_HIF2PATHWAY	0.011988011988011988	APOE	PBTA_HGG
M196	PID_IL23_PATHWAY	0.011988011988011988	MAP3K8	PBTA_HGG
M495	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.011988011988011988	AGPAT1	PBTA_HGG
M510	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	0.011988011988011988	FTH1	PBTA_HGG
M543	REACTOME_CELL_CYCLE	0.011988011988011988	FCGR1B	PBTA_HGG
M601	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.011988011988011988	EIF4A2	PBTA_HGG
M704	REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.011988011988011988	PLK3	PBTA_HGG
M1921	REACTOME_REGULATION_OF_INSULIN_SECRETION	0.011988011988011988	BCL7B	PBTA_HGG
M2780	REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.011988011988011988	PRKAR1B	PBTA_HGG
M18387	KORKOLA_SEMINOMA_UP	0.011988011988011988	APEX1	PBTA_HGG
M19993	HUTTMANN_B_CLL_POOR_SURVIVAL_UP	0.011988011988011988	MBTPS1	PBTA_HGG
M10172	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	0.011988011988011988	HADHB	PBTA_HGG
M7363	ELVIDGE_HYPOXIA_UP	0.011988011988011988	PRNP	PBTA_HGG
M7062	ELVIDGE_HIF1A_AND_HIF2A_TARGETS_UP	0.011988011988011988	FCGR1A	PBTA_HGG
M18394	ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	0.011988011988011988	MSTN	PBTA_HGG
M7561	KEGG_MTOR_SIGNALING_PATHWAY	0.012987012987012988	PAICS	PBTA_HGG
M17411	KEGG_JAK_STAT_SIGNALING_PATHWAY	0.012987012987012988	DAB2	PBTA_HGG
M13191	KEGG_PROSTATE_CANCER	0.012987012987012988	PLK3	PBTA_HGG
M2529	BIOCARTA_PDGF_PATHWAY	0.012987012987012988	PLK3	PBTA_HGG
M2579	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.012987012987012988	SCAMP3	PBTA_HGG
M269	PID_RAS_PATHWAY	0.012987012987012988	SCAMP3	PBTA_HGG
M1077	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.012987012987012988	PREB	PBTA_HGG
M12671	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	0.012987012987012988	SUOX	PBTA_HGG
M6750	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	0.012987012987012988	RNASET2	PBTA_HGG
M19988	GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	0.012987012987012988	UBE2V1	PBTA_HGG
M17856	MULLIGHAN_MLL_SIGNATURE_1_UP	0.012987012987012988	GGT7	PBTA_HGG
M15196	TIEN_INTESTINE_PROBIOTICS_2HR_UP	0.012987012987012988	SP110	PBTA_HGG
M6189	ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	0.012987012987012988	CD33	PBTA_HGG
M2435	WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.012987012987012988	SLC7A7	PBTA_HGG
M78	EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.012987012987012988	RSC1A1	PBTA_HGG
M16763	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.013986013986013986	VWA5A	PBTA_HGG
M223	PID_BETA_CATENIN_NUC_PATHWAY	0.013986013986013986	RIPK1	PBTA_HGG
M512	REACTOME_DAG_AND_IP3_SIGNALING	0.013986013986013986	ELP1	PBTA_HGG
M19832	REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.013986013986013986	APEH	PBTA_HGG
M14520	REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.013986013986013986	HLA-DPA1	PBTA_HGG
M879	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	0.013986013986013986	RNASET2	PBTA_HGG
M983	REACTOME_INTERFERON_SIGNALING	0.013986013986013986	ADPRH	PBTA_HGG
M4619	LIU_PROSTATE_CANCER_UP	0.013986013986013986	EIF5A	PBTA_HGG
M12784	RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	0.013986013986013986	OGDH	PBTA_HGG
M19849	HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	0.013986013986013986	MYO1F	PBTA_HGG
M672	CHIN_BREAST_CANCER_COPY_NUMBER_UP	0.013986013986013986	SNX3	PBTA_HGG
M16848	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.014985014985014986	CSF2RA	PBTA_HGG
M3126	KEGG_LEISHMANIA_INFECTION	0.014985014985014986	AKT2	PBTA_HGG
M34	PID_TCR_PATHWAY	0.014985014985014986	AKT2	PBTA_HGG
M94	PID_FAS_PATHWAY	0.014985014985014986	TMPO	PBTA_HGG
M141	PID_PI3KCI_PATHWAY	0.014985014985014986	AGA	PBTA_HGG
M156	PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.014985014985014986	TFG	PBTA_HGG
M276	PID_FGF_PATHWAY	0.014985014985014986	DNM1	PBTA_HGG
M508	REACTOME_SIGNALING_BY_SCF_KIT	0.014985014985014986	PTMA	PBTA_HGG
M518	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.014985014985014986	FTH1	PBTA_HGG
M748	REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.014985014985014986	SERPINB6	PBTA_HGG
M6423	REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.014985014985014986	SERPINB6	PBTA_HGG
M3737	PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	0.014985014985014986	AP1B1	PBTA_HGG
M11857	RODRIGUES_NTN1_TARGETS_DN	0.014985014985014986	ATP1A1	PBTA_HGG
M11672	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	0.014985014985014986	IVD	PBTA_HGG
M13879	VANHARANTA_UTERINE_FIBROID_DN	0.014985014985014986	TSPYL1	PBTA_HGG
M4716	CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.014985014985014986	ARL1	PBTA_HGG
M18306	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.015984015984015984	ABCA2	PBTA_HGG
M18	PID_INTEGRIN1_PATHWAY	0.015984015984015984	PARP4	PBTA_HGG
M88	PID_CD8_TCR_PATHWAY	0.015984015984015984	PLK3	PBTA_HGG
M164	PID_ERBB1_DOWNSTREAM_PATHWAY	0.015984015984015984	PLK3	PBTA_HGG
M219	PID_HEDGEHOG_GLI_PATHWAY	0.015984015984015984	AP2M1	PBTA_HGG
M222	PID_CXCR3_PATHWAY	0.015984015984015984	DGKA	PBTA_HGG
M676	REACTOME_PI_METABOLISM	0.015984015984015984	TGFBR3	PBTA_HGG
M856	REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	0.015984015984015984	ELP1	PBTA_HGG
M5283	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.015984015984015984	ALDH3B1	PBTA_HGG
M4217	REACTOME_MITOTIC_PROMETAPHASE	0.015984015984015984	CD22	PBTA_HGG
M1067	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.015984015984015984	GRK2	PBTA_HGG
M9192	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.015984015984015984	ENTPD1	PBTA_HGG
M9673	ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	0.015984015984015984	SPCS2	PBTA_HGG
M11585	NAGASHIMA_NRG1_SIGNALING_UP	0.015984015984015984	FAH	PBTA_HGG
M9197	ELVIDGE_HYPOXIA_BY_DMOG_UP	0.015984015984015984	CD33	PBTA_HGG
M7761	KEGG_MELANOGENESIS	0.016983016983016984	ELP1	PBTA_HGG
M41	PID_ER_NONGENOMIC_PATHWAY	0.016983016983016984	SELPLG	PBTA_HGG
M279	PID_RB_1PATHWAY	0.016983016983016984	DCTD	PBTA_HGG
M553	REACTOME_SIGNALING_BY_ERBB2	0.016983016983016984	DCTD	PBTA_HGG
M576	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.016983016983016984	SSR3	PBTA_HGG
M15434	REACTOME_DNA_REPAIR	0.016983016983016984	NEK2	PBTA_HGG
M941	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.016983016983016984	AP2M1	PBTA_HGG
M1021	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.016983016983016984	CSF2RA	PBTA_HGG
M14371	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	0.016983016983016984	ENTPD1	PBTA_HGG
M6663	HOLLMANN_APOPTOSIS_VIA_CD40_DN	0.016983016983016984	PPP1R7	PBTA_HGG
M19982	WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.016983016983016984	ADGRE5	PBTA_HGG
M19529	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	0.016983016983016984	HADHA	PBTA_HGG
M11410	LUCAS_HNF4A_TARGETS_UP	0.016983016983016984	MYD88	PBTA_HGG
M9642	GALLUZZI_PERMEABILIZE_MITOCHONDRIA	0.016983016983016984	GPI	PBTA_HGG
M8728	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.017982017982017984	NAGLU	PBTA_HGG
M7739	BIOCARTA_PYK2_PATHWAY	0.017982017982017984	APEH	PBTA_HGG
M567	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.017982017982017984	GRK2	PBTA_HGG
M1002	REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.017982017982017984	LCAT	PBTA_HGG
M4781	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	0.017982017982017984	RING1	PBTA_HGG
M5549	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.017982017982017984	TFG	PBTA_HGG
M15912	HAMAI_APOPTOSIS_VIA_TRAIL_DN	0.017982017982017984	AOAH	PBTA_HGG
M14314	KEGG_PURINE_METABOLISM	0.01898101898101898	ASH2L	PBTA_HGG
M1724	KEGG_RNA_POLYMERASE	0.01898101898101898	EFNB3	PBTA_HGG
M5500	KEGG_BASE_EXCISION_REPAIR	0.01898101898101898	LGALS3BP	PBTA_HGG
M2288	BIOCARTA_NFAT_PATHWAY	0.01898101898101898	DNAJB9	PBTA_HGG
M9070	BIOCARTA_CREB_PATHWAY	0.01898101898101898	PLK3	PBTA_HGG
M193	PID_NEPHRIN_NEPH1_PATHWAY	0.01898101898101898	PLK3	PBTA_HGG
M237	PID_VEGFR1_2_PATHWAY	0.01898101898101898	PLK3	PBTA_HGG
M8229	REACTOME_TRANSLATION	0.01898101898101898	GRK2	PBTA_HGG
M610	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.01898101898101898	MCL1	PBTA_HGG
M8821	REACTOME_AXON_GUIDANCE	0.01898101898101898	NAGLU	PBTA_HGG
M815	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.01898101898101898	GRIK4	PBTA_HGG
M954	REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.01898101898101898	STS	PBTA_HGG
M17095	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	0.01898101898101898	LIF	PBTA_HGG
M1074	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.01898101898101898	GAS1	PBTA_HGG
M6451	ODONNELL_TFRC_TARGETS_DN	0.01898101898101898	HLA-E	PBTA_HGG
M835	KEGG_DILATED_CARDIOMYOPATHY	0.01998001998001998	NAGLU	PBTA_HGG
M18342	ST_G_ALPHA_I_PATHWAY	0.01998001998001998	PRKAR1B	PBTA_HGG
M14	PID_AURORA_B_PATHWAY	0.01998001998001998	IDH2	PBTA_HGG
M13881	REACTOME_SIGNALLING_TO_ERKS	0.01998001998001998	HNMT	PBTA_HGG
M635	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.01998001998001998	ELP1	PBTA_HGG
M864	REACTOME_MITOTIC_G2_G2_M_PHASES	0.01998001998001998	SERPINB6	PBTA_HGG
M1090	REACTOME_SIGNALING_BY_FGFR	0.01998001998001998	ELP1	PBTA_HGG
M12362	DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP	0.01998001998001998	STK10	PBTA_HGG
M10184	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	0.01998001998001998	ARRB2	PBTA_HGG
M17859	KIM_WT1_TARGETS_DN	0.01998001998001998	HLA-E	PBTA_HGG
M18274	VANHARANTA_UTERINE_FIBROID_UP	0.01998001998001998	SNX1	PBTA_HGG
M4381	LUI_THYROID_CANCER_PAX8_PPARG_UP	0.01998001998001998	IQCB1	PBTA_HGG
M272	PID_CD8_TCR_DOWNSTREAM_PATHWAY	0.02097902097902098	TCIRG1	PBTA_HGG
M503	REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D	0.02097902097902098	CACFD1	PBTA_HGG
M1036	REACTOME_INNATE_IMMUNE_SYSTEM	0.02097902097902098	MLEC	PBTA_HGG
