QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module	WTCS
P35354	NA	NA	NA	NA	CELECOXIB	Cyclooxygenase-2 inhibitor	INHIBITOR	1998	CHEMBL230	126	P35354	Prostaglandin G/H synthase 2	Homo sapiens	D000070636: Rotator Cuff Injuries,D000071960: Breast Carcinoma In Situ,D000077195: Squamous Cell Carcinoma of Head and Neck,D000081483: Squamous Intraepithelial Lesions,D000236: Adenoma,D000544: Alzheimer Disease,D000690: Amyotrophic Lateral Sclerosis,D001171: Arthritis, Juvenile,D001172: Arthritis, Rheumatoid,D001714: Bipolar Disorder,D001749: Urinary Bladder Neoplasms,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002583: Uterine Cervical Neoplasms,D003110: Colonic Neoplasms,D003865: Depressive Disorder, Major,D003866: Depressive Disorder,D004412: Dysmenorrhea,D004938: Esophageal Neoplasms,D005157: Facial Pain,D005909: Glioblastoma,D005910: Glioma,D006073: Gout,D006258: Head and Neck Neoplasms,D006470: Hemorrhage,D006527: Hepatolenticular Degeneration,D006528: Carcinoma, Hepatocellular,D006973: Hypertension,D007024: Hypotension, Orthostatic,D007249: Inflammation,D007251: Influenza, Human,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008268: Macular Degeneration,D008527: Medulloblastoma,D008545: Melanoma,D008569: Memory Disorders,D008881: Migraine Disorders,D009062: Mouth Neoplasms,D009101: Multiple Myeloma,D009134: Muscular Atrophy, Spinal,D009196: Myeloproliferative Disorders,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D009437: Neuralgia,D009447: Neuroblastoma,D009456: Neurofibromatosis 1,D009765: Obesity,D009771: Obsessive-Compulsive Disorder,D010003: Osteoarthritis,D010051: Ovarian Neoplasms,D010146: Pain,D010190: Pancreatic Neoplasms,D010212: Papilloma,D010265: Paraproteinemias,D010437: Peptic Ulcer,D010534: Peritoneal Neoplasms,D010612: Pharyngitis,D011125: Adenomatous Polyposis Coli,D011225: Pre-Eclampsia,D011470: Prostatic Hyperplasia,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012216: Rheumatic Diseases,D012509: Sarcoma,D012559: Schizophrenia,D013167: Spondylitis, Ankylosing,D013280: Stomatitis,D013705: Temporomandibular Joint Disorders,D014029: Tobacco Use Disorder,D014069: Tonsillitis,D014098: Toothache,D014376: Tuberculosis,D014594: Uterine Neoplasms,D014947: Wounds and Injuries,D015179: Colorectal Neoplasms,D015207: Osteoarthritis, Hip,D016543: Central Nervous System Neoplasms,D017116: Low Back Pain,D018192: Lymphangioleiomyomatosis,D019052: Depression, Postpartum,D020370: Osteoarthritis, Knee,D030361: Papillomavirus Infections,D049970: Graves Ophthalmopathy,D055623: Keratosis, Actinic,D059350: Chronic Pain,D059787: Acute Pain,D060831: Hand-Foot Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant	PTGS2	M4	-0.318317759933879
P21917	NA	NA	NA	NA	THIORIDAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1962	CHEMBL2331075	105671	P21917	D(4) dopamine receptor	Homo sapiens	D001007: Anxiety,D003704: Dementia,D003866: Depressive Disorder,D011618: Psychotic Disorders,D012559: Schizophrenia,D015470: Leukemia, Myeloid, Acute	DRD4	M5	-0.309226329291241
Q07869	NA	NA	NA	NA	CLOFIBRATE	Peroxisome proliferator-activated receptor alpha agonist	AGONIST	1967	CHEMBL239	163	Q07869	Peroxisome proliferator-activated receptor alpha	Homo sapiens	D002318: Cardiovascular Diseases,D009203: Myocardial Infarction,D017202: Myocardial Ischemia	PPARA	M5	-0.328594962307664
P29274	NA	NA	NA	NA	CAFFEINE	Adenosine receptor antagonist	ANTAGONIST	1948	CHEMBL2111329	105024	P29274	Adenosine receptor A2a	Homo sapiens	D000437: Alcoholism,D000544: Alzheimer Disease,D000550: Amblyopia,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000860: Hypoxia,D001172: Arthritis, Rheumatoid,D001281: Atrial Fibrillation,D001289: Attention Deficit Disorder with Hyperactivity,D001416: Back Pain,D001943: Breast Neoplasms,D003093: Colitis, Ulcerative,D003139: Common Cold,D003141: Communicable Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003876: Dermatitis, Atopic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004417: Dyspnea,D006261: Headache,D007024: Hypotension, Orthostatic,D007383: Intermittent Claudication,D008545: Melanoma,D008881: Migraine Disorders,D009290: Narcolepsy,D009369: Neoplasms,D009765: Obesity,D010146: Pain,D010300: Parkinson Disease,D011565: Psoriasis,D013119: Spinal Cord Injuries,D014832: Voice Disorders,D015658: HIV Infections,D017116: Low Back Pain,D018781: Tension-Type Headache,D019547: Neck Pain,D019698: Hepatitis C, Chronic,D019966: Substance-Related Disorders,D019970: Cocaine-Related Disorders,D020325: Migraine with Aura,D020326: Migraine without Aura,D020529: Multiple Sclerosis, Relapsing-Remitting,D028361: Mitochondrial Diseases,D059350: Chronic Pain,D064129: Prostatic Neoplasms, Castration-Resistant,D065626: Non-alcoholic Fatty Liver Disease	ADORA2A	M5	-0.31061219634024
Q9UBN7	NA	NA	NA	NA	VORINOSTAT	Histone deacetylase 6 inhibitor	INHIBITOR	2006	CHEMBL1865	11307	Q9UBN7	Histone deacetylase 6	Homo sapiens	D000077195: Squamous Cell Carcinoma of Head and Neck,D000080443: Diffuse Intrinsic Pontine Glioma,D000544: Alzheimer Disease,D000755: Anemia, Sickle Cell,D001005: Anus Neoplasms,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001927: Brain Diseases,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002051: Burkitt Lymphoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D003110: Colonic Neoplasms,D003424: Crohn Disease,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006689: Hodgkin Disease,D007012: Hypopharyngeal Neoplasms,D007938: Leukemia,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008527: Medulloblastoma,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D009447: Neuroblastoma,D009542: Niemann-Pick Diseases,D009837: Oligodendroglioma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D011087: Polycythemia Vera,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012509: Sarcoma,D012559: Schizophrenia,D012751: Sezary Syndrome,D013120: Spinal Cord Neoplasms,D013274: Stomach Neoplasms,D013920: Thrombocythemia, Essential,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015473: Leukemia, Promyelocytic, Acute,D015658: HIV Infections,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D018276: Carcinoma, Medullary,D018289: Carcinoma, Verrucous,D018316: Gliosarcoma,D018442: Lymphoma, B-Cell, Marginal Zone,D018567: Breast Neoplasms, Male,D020522: Lymphoma, Mantle-Cell,D047748: Pituitary ACTH Hypersecretion,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054218: Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D054429: Leukemia, Myelomonocytic, Juvenile,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	HDAC6	M5	-0.318896828125841
Q9UBN7	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q9UBN7	Histone deacetylase 6	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC6	M5	-0.321683434003208
Q969S8	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q969S8	Polyamine deacetylase HDAC10	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC10	M5	-0.321683434003208
P10275	NA	NA	NA	NA	FLUTAMIDE	Androgen Receptor antagonist	ANTAGONIST	1989	CHEMBL1871	56	P10275	Androgen receptor	Homo sapiens	D000312: Adrenal Hyperplasia, Congenital,D009369: Neoplasms,D010051: Ovarian Neoplasms,D011085: Polycystic Ovary Syndrome,D011471: Prostatic Neoplasms,D064129: Prostatic Neoplasms, Castration-Resistant	AR	M5	-0.320585836260437
Q02880	NA	NA	NA	NA	ETOPOSIDE	DNA topoisomerase II inhibitor	INHIBITOR	1983	CHEMBL2094255	104727	Q02880	DNA topoisomerase 2-beta	Homo sapiens	D000077192: Adenocarcinoma of Lung,D000163: Acquired Immunodeficiency Syndrome,D000306: Adrenal Cortex Neoplasms,D000753: Anemia, Refractory,D000754: Anemia, Refractory, with Excess of Blasts,D001254: Astrocytoma,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002051: Burkitt Lymphoma,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002294: Carcinoma, Squamous Cell,D002822: Choriocarcinoma,D004806: Ependymoma,D004915: Leukemia, Erythroblastic, Acute,D005185: Fallopian Tube Neoplasms,D005871: Castleman Disease,D005910: Glioma,D006086: Graft vs Host Disease,D006103: Granuloma, Lethal Midline,D006402: Hematologic Diseases,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D007680: Kidney Neoplasms,D007938: Leukemia,D007945: Leukemia, Lymphoid,D007947: Leukemia, Megakaryoblastic, Acute,D007948: Leukemia, Monocytic, Acute,D007952: Leukemia, Plasma Cell,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008258: Waldenstrom Macroglobulinemia,D008479: Mediastinal Neoplasms,D008527: Medulloblastoma,D009101: Multiple Myeloma,D009157: Myasthenia Gravis,D009190: Myelodysplastic Syndromes,D009196: Myeloproliferative Disorders,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009396: Wilms Tumor,D009447: Neuroblastoma,D009471: Neuromyelitis Optica,D009503: Neutropenia,D009837: Oligodendroglioma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D012175: Retinoblastoma,D012208: Rhabdomyosarcoma,D012509: Sarcoma,D012512: Sarcoma, Ewing,D012514: Sarcoma, Kaposi,D012516: Osteosarcoma,D013274: Stomach Neoplasms,D013724: Teratoma,D013736: Testicular Neoplasms,D013945: Thymoma,D013953: Thymus Neoplasms,D015179: Colorectal Neoplasms,D015266: Carcinoma, Merkel Cell,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015459: Leukemia-Lymphoma, Adult T-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015471: Leukemia, Basophilic, Acute,D015477: Leukemia, Myelomonocytic, Chronic,D015479: Leukemia, Myelomonocytic, Acute,D015658: HIV Infections,D016393: Lymphoma, B-Cell,D016399: Lymphoma, T-Cell,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D016483: Lymphoma, AIDS-Related,D016543: Central Nervous System Neoplasms,D016545: Choroid Plexus Neoplasms,D016750: Stiff-Person Syndrome,D017728: Lymphoma, Large-Cell, Anaplastic,D018197: Hepatoblastoma,D018232: Rhabdomyosarcoma, Alveolar,D018233: Rhabdomyosarcoma, Embryonal,D018236: Carcinoma, Embryonal,D018239: Seminoma,D018240: Endodermal Sinus Tumor,D018242: Neuroectodermal Tumors, Primitive,D018273: Carcinoma, Islet Cell,D018278: Carcinoma, Neuroendocrine,D018302: Neoplasms, Neuroepithelial,D018305: Ganglioneuroblastoma,D018312: Sex Cord-Gonadal Stromal Tumors,D018316: Gliosarcoma,D019337: Hematologic Neoplasms,D020277: Polyradiculoneuropathy, Chronic Inflammatory Demyelinating,D020339: Optic Nerve Glioma,D020522: Lymphoma, Mantle-Cell,D020529: Multiple Sclerosis, Relapsing-Remitting,D023981: Sarcoma, Myeloid,D031901: Gestational Trophoblastic Disease,D045169: Severe Acute Respiratory Syndrome,D051359: Lymphohistiocytosis, Hemophagocytic,D053578: Opsoclonus-Myoclonus Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054218: Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	TOP2B	M5	-0.302282468743064
Q02880	NA	NA	NA	NA	TENIPOSIDE	DNA topoisomerase II inhibitor	INHIBITOR	1992	CHEMBL2094255	104727	Q02880	DNA topoisomerase 2-beta	Homo sapiens	D007938: Leukemia,D008223: Lymphoma,D009369: Neoplasms,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	TOP2B	M5	-0.303357505576336
Q02880	NA	NA	NA	NA	TENIPOSIDE	DNA topoisomerase II inhibitor	INHIBITOR	1992	CHEMBL2094255	104727	Q02880	DNA topoisomerase 2-beta	Homo sapiens	D007938: Leukemia,D008223: Lymphoma,D009369: Neoplasms,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	TOP2B	M5	-0.302544531754292
Q9BY41	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q9BY41	Histone deacetylase 8	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC8	M6	-0.321683434003208
P28223	NA	NA	NA	NA	CLOZAPINE	Serotonin 2a (5-HT2a) receptor antagonist	ANTAGONIST	1989	CHEMBL224	107	P28223	5-hydroxytryptamine receptor 2A	Homo sapiens	D001007: Anxiety,D001714: Bipolar Disorder,D002658: Developmental Disabilities,D003704: Dementia,D003866: Depressive Disorder,D008607: Intellectual Disability,D011618: Psychotic Disorders,D012559: Schizophrenia	HTR2A	M6	-0.321660522124873
P28223	NA	NA	NA	NA	THIORIDAZINE	Serotonin 2a (5-HT2a) receptor antagonist	ANTAGONIST	1962	CHEMBL224	107	P28223	5-hydroxytryptamine receptor 2A	Homo sapiens	D001007: Anxiety,D003704: Dementia,D003866: Depressive Disorder,D011618: Psychotic Disorders,D012559: Schizophrenia,D015470: Leukemia, Myeloid, Acute	HTR2A	M6	-0.309226329291241
P29274	NA	NA	NA	NA	CAFFEINE	Adenosine receptor antagonist	ANTAGONIST	1948	CHEMBL2111329	105024	P29274	Adenosine receptor A2a	Homo sapiens	D000437: Alcoholism,D000544: Alzheimer Disease,D000550: Amblyopia,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000860: Hypoxia,D001172: Arthritis, Rheumatoid,D001281: Atrial Fibrillation,D001289: Attention Deficit Disorder with Hyperactivity,D001416: Back Pain,D001943: Breast Neoplasms,D003093: Colitis, Ulcerative,D003139: Common Cold,D003141: Communicable Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003876: Dermatitis, Atopic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004417: Dyspnea,D006261: Headache,D007024: Hypotension, Orthostatic,D007383: Intermittent Claudication,D008545: Melanoma,D008881: Migraine Disorders,D009290: Narcolepsy,D009369: Neoplasms,D009765: Obesity,D010146: Pain,D010300: Parkinson Disease,D011565: Psoriasis,D013119: Spinal Cord Injuries,D014832: Voice Disorders,D015658: HIV Infections,D017116: Low Back Pain,D018781: Tension-Type Headache,D019547: Neck Pain,D019698: Hepatitis C, Chronic,D019966: Substance-Related Disorders,D019970: Cocaine-Related Disorders,D020325: Migraine with Aura,D020326: Migraine without Aura,D020529: Multiple Sclerosis, Relapsing-Remitting,D028361: Mitochondrial Diseases,D059350: Chronic Pain,D064129: Prostatic Neoplasms, Castration-Resistant,D065626: Non-alcoholic Fatty Liver Disease	ADORA2A	M6	-0.31061219634024
Q969S8	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q969S8	Polyamine deacetylase HDAC10	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC10	M6	-0.321683434003208
P35462	NA	NA	NA	NA	THIORIDAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1962	CHEMBL2331075	105671	P35462	D(3) dopamine receptor	Homo sapiens	D001007: Anxiety,D003704: Dementia,D003866: Depressive Disorder,D011618: Psychotic Disorders,D012559: Schizophrenia,D015470: Leukemia, Myeloid, Acute	DRD3	M6	-0.309226329291241
Q8WUI4	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q8WUI4	Histone deacetylase 7	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC7	M6	-0.321683434003208
P56524	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	P56524	Histone deacetylase 4	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC4	M6	-0.321683434003208
P29275	NA	NA	NA	NA	CAFFEINE	Adenosine receptor antagonist	ANTAGONIST	1948	CHEMBL2111329	105024	P29275	Adenosine receptor A2b	Homo sapiens	D000437: Alcoholism,D000544: Alzheimer Disease,D000550: Amblyopia,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000860: Hypoxia,D001172: Arthritis, Rheumatoid,D001281: Atrial Fibrillation,D001289: Attention Deficit Disorder with Hyperactivity,D001416: Back Pain,D001943: Breast Neoplasms,D003093: Colitis, Ulcerative,D003139: Common Cold,D003141: Communicable Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003876: Dermatitis, Atopic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004417: Dyspnea,D006261: Headache,D007024: Hypotension, Orthostatic,D007383: Intermittent Claudication,D008545: Melanoma,D008881: Migraine Disorders,D009290: Narcolepsy,D009369: Neoplasms,D009765: Obesity,D010146: Pain,D010300: Parkinson Disease,D011565: Psoriasis,D013119: Spinal Cord Injuries,D014832: Voice Disorders,D015658: HIV Infections,D017116: Low Back Pain,D018781: Tension-Type Headache,D019547: Neck Pain,D019698: Hepatitis C, Chronic,D019966: Substance-Related Disorders,D019970: Cocaine-Related Disorders,D020325: Migraine with Aura,D020326: Migraine without Aura,D020529: Multiple Sclerosis, Relapsing-Remitting,D028361: Mitochondrial Diseases,D059350: Chronic Pain,D064129: Prostatic Neoplasms, Castration-Resistant,D065626: Non-alcoholic Fatty Liver Disease	ADORA2B	M6	-0.31061219634024
Q9BY41	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q9BY41	Histone deacetylase 8	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC8	M9	-0.321683434003208
P28223	NA	NA	NA	NA	CLOZAPINE	Serotonin 2a (5-HT2a) receptor antagonist	ANTAGONIST	1989	CHEMBL224	107	P28223	5-hydroxytryptamine receptor 2A	Homo sapiens	D001007: Anxiety,D001714: Bipolar Disorder,D002658: Developmental Disabilities,D003704: Dementia,D003866: Depressive Disorder,D008607: Intellectual Disability,D011618: Psychotic Disorders,D012559: Schizophrenia	HTR2A	M9	-0.321660522124873
P28223	NA	NA	NA	NA	THIORIDAZINE	Serotonin 2a (5-HT2a) receptor antagonist	ANTAGONIST	1962	CHEMBL224	107	P28223	5-hydroxytryptamine receptor 2A	Homo sapiens	D001007: Anxiety,D003704: Dementia,D003866: Depressive Disorder,D011618: Psychotic Disorders,D012559: Schizophrenia,D015470: Leukemia, Myeloid, Acute	HTR2A	M9	-0.309226329291241
