HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
TRBJ2-6	142858332	142858384	CHR_HSCHR7_2_CTG6
ITGA11	68296532	68432163	15
	23658094	23717356	22
TMSB10P2	18341216	18341346	X
SRMP1	47859788	47860672	20
IGHV1-45	106531677	106532172	CHR_HSCHR14_3_CTG1
RTN4IP1	106571971	106629487	6
	4967764	4970425	5
TRBJ2-7	142858549	142858595	CHR_HSCHR7_2_CTG6
	66622868	66623177	5
MAST4-IT1	66662331	66662988	5
IGHV1-46	106535796	106536537	CHR_HSCHR14_3_CTG1
PRR3	30546378	30553215	CHR_HSCHR6_MHC_QBL_CTG1
	4974690	5034267	5
MAST4	66596361	67169595	5
KIR2DL3	54738514	54753065	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
CDC42EP5	54472957	54481158	CHR_HSCHR19_4_CTG3_1
	35818399	35823713	CHR_HSCHR17_7_CTG4
CCDC82	96352769	96389956	11
	68307393	68308445	9
TRBC2	142862134	142863838	CHR_HSCHR7_2_CTG6
SOX2	181711925	181714436	3
RPL7AP25	181505075	181505879	3
ADGRD2	124451425	124478589	9
GPS2P1	2875442	2876427	9
DNAJC19	180983709	180989774	3
IGHVII-46-1	106540499	106540535	CHR_HSCHR14_3_CTG1
ATP5PDP2	2900320	2900804	9
DUX4L16	11306918	11308181	Y
IGHV3-47	106543263	106543708	CHR_HSCHR14_3_CTG1
	33657436	33659928	13
	11741910	11744506	16
IGHVIII-47-1	106555822	106556152	CHR_HSCHR14_3_CTG1
	33355206	33676768	13
LINC02570	30829032	30837670	CHR_HSCHR6_MHC_QBL_CTG1
TXNDC11	11679080	11742878	16
DUX4L17	11314921	11316187	Y
DDR1-DT	30856563	30865496	CHR_HSCHR6_MHC_QBL_CTG1
	33610967	33611522	13
IL7R	35852695	35879603	5
PRIMA1	93718298	93788481	CHR_HSCHR14_7_CTG1
RPL27	42998273	43002959	17
GSTT1	24033952	24042493	CHR_HSCHR22_1_CTG7
	106451496	106457248	6
TUBGCP3	112485011	112588205	13
ALG12	49900229	49918438	22
GNL1	30530868	30546666	CHR_HSCHR6_MHC_QBL_CTG1
LAIR2	54505847	54518644	CHR_HSCHR19_4_CTG3_1
LARP7P2	19819504	19819628	16
NR5A1	124481236	124507420	9
DNAJC19P9	45290036	45290386	14
	45369215	45370839	14
	45377268	45389286	14
	45502742	45503140	14
	181421058	181442486	3
	87261931	87266822	4
	45567995	45569069	14
SOX2-OT	180989762	181836880	3
TRBV30	142873679	142874492	CHR_HSCHR7_2_CTG6
SYBU	109573978	109691791	8
USP42	6104884	6161564	7
SNN	11668455	11679152	16
	43274159	43274582	7
	101052054	101076251	8
LINC01020	5034359	5070004	5
	42954135	43113931	7
RPSAP34	108407843	108408578	4
ZACNP1	108415220	108416639	4
HECW1	43112629	43566001	7
	93895762	93897759	CHR_HSCHR14_7_CTG1
	31526942	31563464	2
	18304854	18305045	6
DDX18P3	18363417	18365423	6
SRD5A2	31522480	31580938	2
KRTAP6-2	30598590	30598902	21
ACTBP6	84948585	84949674	8
FAM181A-AS1	93904730	93927066	CHR_HSCHR14_7_CTG1
	5046796	5049497	5
LINC02121	5069192	5078311	5
PRDM6	123089241	123194266	5
EXOC7P1	108417705	108419763	4
	21652270	21670237	22
IGHV3-48	106562491	106563025	CHR_HSCHR14_3_CTG1
FAM181A	93918894	93929608	CHR_HSCHR14_7_CTG1
DUX4L18	11321557	11322823	Y
	21657811	21661021	22
RPL11P4	92596852	92597287	10
	21661476	21661593	22
KIF11	92593130	92655395	10
	21661934	21662363	22
	21661242	21661295	22
YPEL1	21697536	21735794	22
KIR3DL3	54724447	54736132	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
CNTNAP3P5	62559839	62569907	9
	47950799	47952055	20
	273954	277123	12
	47958022	47958603	20
CARM1P1	2907073	3053408	9
CRELD2	49918167	49927540	22
TNFRSF10D	23135588	23164027	8
LINC01523	47983404	47984313	20
LINC01522	47980488	47988744	20
	89560875	89567044	6
	59535863	59536415	3
	48007875	48022237	20
	48073869	48074188	20
	21661859	21661929	22
LYRM2	89568144	89638749	6
LINC01058	30419519	30422237	13
	123087248	123090299	5
ISYNA1	18434388	18438301	19
	54529653	54529961	CHR_HSCHR19_4_CTG3_1
UBE2L5	30422488	30428616	13
	18366736	18368644	6
KRTAP22-1	30601087	30601382	21
	60730055	60730644	3
FABP3	31365625	31376850	1
FHIT	59747277	61251459	3
C19orf24	1275530	1279244	19
KRTAP6-1	30613431	30613930	21
CIDEC	9866711	9880254	3
TGFB3-AS1	75970924	75971587	14
NELFE	32028530	32035535	CHR_HSCHR6_MHC_MCF_CTG1
	75814502	75847698	14
ATP5MC1P6	63496989	63497400	18
ERG28	75649791	75661189	14
	63485601	63486018	18
SERPINB5	63476958	63505085	18
	128069014	128069612	4
NOMO2	18417325	18562211	16
CXADRP1	13676022	13677116	21
RPL34-AS1	108538190	108620460	4
OR52S1P	5076130	5077066	11
LARP1B	128061286	128222931	4
RBPJP7	62601226	62602672	9
	13679300	13681138	21
DUX4L19	11332329	11333595	Y
	31651381	31651862	2
BOLA3P2	9019344	9019984	19
	13704853	13705518	21
LINC01946	31793823	31803980	2
FEM1AP1	13762338	13764332	21
IGHV3-49	106581617	106582158	CHR_HSCHR14_3_CTG1
RAB28P2	62606797	62607748	9
MIR3150BHG	95066808	95073182	8
OR52E3P	5092676	5093611	11
KRT18P52	31822591	31823436	2
IGHVII-49-1	106589056	106589279	CHR_HSCHR14_3_CTG1
AK2P2	31823413	31823817	2
	13769932	13771740	21
LINC01231	3181589	3198517	9
IGHV3-50	106590798	106591236	CHR_HSCHR14_3_CTG1
	57477649	57482996	19
PPIAP70	60690225	60690719	3
PPIAP71	60732144	60732636	3
LILRP2	54707916	54713453	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
CCNE2	94879770	94896678	8
	31852976	31853423	2
	60616822	60618079	3
TERF1P1	13776086	13777266	21
ATP5MGP7	42647834	42648143	17
EIF2S2P3	92668745	92669743	10
RNF144B	18387350	18468874	6
HMGB3P27	42648178	42648738	17
LINC02080	76799044	76807102	17
OR52J1P	5104153	5105084	11
LRRC3-DT	44450986	44455284	21
FAM207CP	13792635	13793141	21
RPL34	108620566	108630412	4
	98943595	98944098	8
	75595805	75596206	14
PABPC1P5	11335627	11337693	Y
GXYLT1P2	13824406	13825635	21
TGFB3	75958099	75982991	14
CNN2P7	13826696	13827627	21
ANKRD6	89433152	89633834	6
LRRC3	44455510	44462196	21
	5106062	5107530	11
IGHV5-51	106603423	106603917	CHR_HSCHR14_3_CTG1
GUCD1	24540423	24555935	22
IGHVIII-51-1	106608187	106608488	CHR_HSCHR14_3_CTG1
KRTAP20-1	30616425	30616699	21
	54703952	54704235	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
TUBG2	42659284	42667006	17
	3594247	3624747	6
SPAG7	4959226	4967817	17
SERINC2	31409565	31434680	1
KRTAP20-4	30620627	30620850	21
IGHVII-51-2	106609399	106609657	CHR_HSCHR14_3_CTG1
ANAPC13	134477706	134486716	3
LILRP1	54700593	54700905	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
	3693923	3694075	6
FRRS1L	109130293	109167295	9
	5132780	5140054	5
LINC02303	45706250	45715952	14
NPC1	23506184	23586506	18
SUMO2P1	29632655	29632938	CHR_HSCHR6_MHC_COX_CTG1
DDX39A	14408819	14419383	19
IGHV3-52	106611057	106611507	CHR_HSCHR14_3_CTG1
FAM117A	49710332	49789180	17
SLC9B1P1	11340579	11385687	Y
LINC01300	141340549	141344621	CHR_HSCHR8_5_CTG7
IGHV3-53	106617357	106618028	CHR_HSCHR14_3_CTG1
KRTAP20-2	30635236	30635619	21
IFT43	75902136	76084585	14
KIR3DL2	54922093	54938887	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	87317170	87345210	4
HSD17B13	87303789	87322886	4
	31754219	31754656	5
	31738269	31738660	5
	31747644	31748078	5
TPT1P5	31908361	31909186	5
	31725539	31725902	5
	134510531	134511413	3
PDZD2	31639131	32110932	5
SNRPEP6	148567378	148567654	6
RPSAP40	148647707	148648597	6
	141191599	141194088	5
PCDHB7	141172619	141176383	5
	55750206	55750401	5
HECW1-IT1	43117896	43163187	7
MIR548A1HG	18522739	18674001	6
DDX4	55738017	55817157	5
	141168231	141168893	5
	141177849	141182369	5
PCDHB16	141181399	141186399	5
	43239066	43249268	7
EFNA2	1285873	1301431	19
LUARIS	43508728	43522542	7
HSD17B11	87336515	87391188	4
PCDHB15	141245395	141249365	5
	62699244	62737922	17
TCEANC	13653189	13681964	X
GAB2	78215293	78418348	11
PCDHB19P	141239923	141243034	5
MARCH10	62701314	62808344	17
	33846190	33850825	13
RFC3	33818069	33966558	13
PCDHB10	141192353	141195642	5
PCDHB4	141121799	141125623	5
PCDHB9	141187127	141191541	5
PCDHB8	141177790	141180529	5
	71031686	71031970	14
GTF3AP2	71044375	71044640	14
PCDHB5	141135218	141138625	5
PTTG4P	71085482	71085833	14
WBP1L	102743948	102834516	10
PCNX1	70907405	71115382	14
PCDHB17P	141155996	141159061	5
PCDHB13	141213919	141218979	5
ACR	50738196	50745334	22
UBD	29555714	29560028	CHR_HSCHR6_MHC_APD_CTG1
PCDHB3	141100473	141103827	5
	94884609	94885070	8
RPL17P26	56871191	56871743	6
	56844002	56864078	6
UBE2B	134371179	134391992	5
LINC00871	45940943	46501823	14
PCDHB12	141208697	141212571	5
INTS8	94813311	94881746	8
	774747	780214	6
	761675	780648	6
SOCS7	38351844	38405593	17
RPL10L	46651010	46651821	14
LILRP2	54707916	54713453	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
PCDHB6	141150022	141153287	5
CYP17A1	102830531	102837472	10
PCDHB14	141222932	141227759	5
IGHVII-53-1	106624351	106624605	CHR_HSCHR14_3_CTG1
ACTR3BP1	11395699	11397076	Y
RMC1	23503470	23531807	18
	50740593	50743520	22
IGHV3-54	106626027	106626473	CHR_HSCHR14_3_CTG1
TK1	78174091	78187233	17
	11412548	11418716	Y
IGHV4-55	106630782	106631232	CHR_HSCHR14_3_CTG1
	50754675	50755434	22
PCDHB18P	141234333	141237529	5
	181534177	181700611	3
	31326589	31328102	CHR_HSCHR12_4_CTG2
ZNF114P1	13839118	13839409	21
	31313890	31314302	CHR_HSCHR12_4_CTG2
LTB	31620003	31621970	CHR_HSCHR6_MHC_MANN_CTG1
	141118680	141120765	5
PXDC1	3722614	3752026	6
	16542746	16544814	19
SINHCAF	31282857	31329331	CHR_HSCHR12_4_CTG2
	16610411	16636531	19
OR52A4P	5120621	5124513	11
FAUP2	181242345	181242901	3
RPS15P9	1307401	1307719	19
	78324758	78444049	11
	181146233	181146463	3
	141182409	141188582	5
	17557892	17558045	4
	16572624	16575340	19
	19143695	19144160	6
NARS2	78435968	78574874	11
	22773646	22773993	7
	16577642	16660115	19
PCDHB11	141199582	141203779	5
	1321225	1322846	19
CYP4F29P	13843133	13848364	21
	31923367	31923532	5
	31840492	31840971	5
	31741833	31742327	5
RPL5P14	31847271	31848148	5
	31822561	31823136	5
	141183401	141201396	5
KIR3DX1	54540656	54553413	CHR_HSCHR19_4_CTG3_1
	31657218	31665067	5
	141136683	141245380	5
	31743988	31744451	5
OR52A5	5128776	5138356	11
	32103445	32121941	5
	3751111	3753871	6
PAXBP1-AS1	32728115	32743122	21
OR52A1	5143219	5154757	11
MTND1P12	11445418	11445564	Y
IGHV7-56	106634443	106634877	CHR_HSCHR14_3_CTG1
SNX18P13	13905960	13906488	21
	11445708	11446101	Y
OR51A1P	5170351	5171296	11
PAXBP1	32733899	32771792	21
OR52Z1	5177714	5178664	11
	131944408	131968220	5
	16761138	16762652	6
	141223372	141245861	5
	141100242	141174391	5
OR51V1	5199735	5200700	11
GGT1	24594811	24629005	22
MEIKIN	131806990	131945698	5
ATXN1	16299112	16761491	6
MAST4-AS1	67001383	67003953	5
	141353403	141355365	CHR_HSCHR8_5_CTG7
GPR20	141356500	141367267	CHR_HSCHR8_5_CTG7
RDH10	73294602	73325281	8
	905445	909006	6
LINC00868	76850176	76861836	17
	132011448	132013199	5
	958324	962272	6
	132003592	132007022	5
LPL	19901717	19967259	8
OSR2	98944403	98952104	8
RPL21P17	1905651	1906125	3
	131807143	132011637	5
NF1P9	21490364	21509404	15
	54703952	54704235	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
TLDC2	36876121	36894235	20
	1026494	1027225	6
	1962381	1987470	3
RABL2B	50767501	50783663	22
	16610374	16612203	19
LILRP1	54700593	54700905	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
	16479067	16628204	19
	1079929	1104946	6
RNF121	71929018	71997597	11
	38204141	38206080	21
MED26	16574907	16629062	19
DPY19L2P2	103177764	103243284	CHR_HSCHR7_1_CTG4_4
DSCR10	38206156	38208644	21
	19290319	19321021	6
RDH10-AS1	73297711	73356461	8
C6orf15	31189747	31191083	CHR_HSCHR6_MHC_MCF_CTG1
SKIV2L	32035523	32046194	CHR_HSCHR6_MHC_MCF_CTG1
	49902228	49904576	22
KCNJ15	38155549	38307357	21
	63890030	63890317	15
RPL7	73290242	73295789	8
MTMR9LP	32231658	32241620	1
BST2	17402939	17405630	19
	19324988	19839080	6
KIR2DL5B	54771247	54780763	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
SAMHD1	36889773	36951901	20
KIR2DS1	54905771	54920219	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	34303449	34303913	CHR_HSCHR19_1_CTG3_1
C8orf86	38510834	38560939	8
KIAA0355	34261710	34308123	CHR_HSCHR19_1_CTG3_1
KIR3DP1	54830903	54842719	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	16586905	16587985	19
	54888943	54903379	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	16633797	16635269	19
KRT18P38	19612755	19614036	6
PTK7	43076307	43161719	6
MTCYBP21	44469929	44472516	21
ID4	19837370	19842197	6
C19orf44	16496394	16521352	19
KIR2DP1	54799416	54812309	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	38543652	38560877	8
MTND6P21	44472895	44473739	21
MTND5P1	44473723	44475097	21
CASP16P	3144015	3149963	16
CCDC194	17390509	17394158	19
EIF4EBP1P1	21419620	21419960	14
	21398925	21399282	14
KIR2DL1	54814247	54828575	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	78533176	78558565	11
CHD8	21385194	21456126	14
	78423982	78429836	11
PSORS1C1	31193274	31218582	CHR_HSCHR6_MHC_MCF_CTG1
RPL5P20	19348181	19349076	6
	34348356	34359412	19
	78388061	78392405	11
	54268639	54269669	CHR_HSCHR19LRC_PGF2_CTG3_1
UQCRFS1P3	19638040	19638808	6
RPL29P33	34296277	34296592	19
KIR2DS3	54782627	54797062	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	3156736	3157483	16
KIAA0355	34254537	34355586	19
DAPK2	63907036	64072033	15
HHEX	92689955	92695647	10
JAGN1	9890572	9894349	3
	3181233	3184018	16
KIR3DS1	54860882	54875495	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
FAM167B	32247222	32248856	1
TTC39A-AS1	51329654	51335324	1
	93939555	93944129	CHR_HSCHR14_7_CTG1
PSORS1C2	31216078	31217894	CHR_HSCHR6_MHC_MCF_CTG1
ASB2	93934153	93976791	CHR_HSCHR14_7_CTG1
CDSN	31193614	31198966	CHR_HSCHR6_MHC_MCF_CTG1
TTC39A	51287258	51345116	1
OR1M4P	9083112	9083398	19
	62609725	62610799	9
OR1M1	9087061	9095669	19
	30466117	30482294	13
PTPN2P2	30553670	30554693	13
RBM22P2	30539597	30543461	13
ATP5F1AP7	62686912	62688190	9
SDR42E1P3	62690033	62690534	9
MFAP1P1	30541643	30542897	13
	37034668	37043252	17
ZNF200	3222325	3236221	16
	18533418	18533817	16
HMGB1	30456704	30617597	13
	36980167	36980422	17
OR7G2	9100407	9107475	19
AATF	36948954	37056871	17
FKBP4P7	62710036	62711398	9
C11orf65	108308519	108467531	11
OR7G1	9114828	9115763	19
SHROOM2	9786429	9949443	X
ZNF773	57499915	57518404	19
LINC01410	62801461	62813486	9
KIR3DL1	54816499	54830812	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
PTP4A3	141391991	141438356	CHR_HSCHR8_5_CTG7
	23224471	23230926	8
	38237217	38238201	21
LINC00560	88626853	88630397	13
ZNF419	57487711	57496097	19
	23225233	23230915	8
SPATA20P1	38238227	38238664	21
DSCR8	38121451	38156511	21
TNFRSF10A	23190452	23225126	8
APOL6	35648446	35668404	22
PRRC2A	31697009	31714058	CHR_HSCHR6_MHC_MCF_CTG1
	34079411	34080134	13
HMGN1P33	9865093	9865543	X
EIF5P1	9818239	9819469	X
VDAC1P12	34082429	34083310	13
	34262863	34263090	13
	36734004	36734535	7
LINC02343	34348043	34614170	13
	36750687	36763081	7
	19131842	19132890	14
	63928274	63935953	15
LINC00457	34435450	34640685	13
	16630743	16643942	19
NBEAP5	19130636	19155089	14
	36781008	36782789	7
DUXAP9	19062316	19131167	14
	87741233	87741953	9
CHERP	16517894	16542437	19
	119686538	119693563	4
GAMTP2	34574204	34574666	13
	34545929	34671182	13
NPM1P18	36818959	36819690	7
CTSL3P	87772453	87786884	9
	36838972	36841373	7
	54560000	54560286	CHR_HSCHR19_4_CTG3_1
GRPEL2P1	88978447	88978785	13
	44477850	44478493	21
LINC01365	119799089	119804515	4
	101122145	101126158	8
ZNF70	23738682	23751112	22
LINC02575	44485577	44490288	21
RNF5P1	38600661	38601200	8
	105959	107114	4
	44494874	44495519	21
	38700626	38704855	8
	101128987	101133486	8
	19124807	19175530	14
	98961428	98968284	8
MIEF2	18260597	18266552	17
	99003407	99003842	8
	141896168	141896689	5
	34925834	34928076	13
	98996763	99013044	8
ELF2P3	87816465	87817970	9
FBP2P1	87810642	87837225	9
VPREB3	23752743	23754425	22
	71938671	71939544	11
LINC01047	89214847	89236890	13
NPAP1P7	87825146	87825968	9
	37045462	37052775	17
	45214448	45215044	15
	87799501	87821803	9
	177346073	177346426	5
ATM	108222484	108369102	11
PLEKHH3	42667914	42676994	17
ZNF614	52012765	52030240	19
	36998598	37000034	17
	45215547	45215943	15
FOSL1P1	128155389	128156204	4
LMAN2	177331567	177351668	5
TRIM60P13	89248818	89250100	13
	48324812	48367976	20
LINC00494	48359950	48370629	20
KIF12	114086126	114099291	9
	45251580	45279251	15
JCHAINP1	84980073	84980547	8
	51803838	51813832	13
	3364329	3364792	9
	85086615	85087186	8
RPL23AP55	23206918	23207369	8
SLC28A2	45252234	45277846	15
TNFRSF10A-AS1	23189279	23190675	8
WDFY2	51584455	51767709	13
RFX3	3218297	3526004	9
OR7G15P	9122160	9122492	19
CETN4P	122728532	122732482	4
OR7G3	9126012	9126950	19
ABCF1	30616012	30641816	CHR_HSCHR6_MHC_MANN_CTG1
	62837139	62838302	9
PKD2L1	100288149	100330264	10
RAB9A	13689125	13710506	X
ZNF317	9140397	9163424	19
KLHL3	137617500	137736089	5
KIR2DL4	54837484	54858960	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
TMC4	54160592	54173691	CHR_HSCHR19_4_CTG3_1
TAF9	69364756	69370027	CHR_HSCHR5_2_CTG1_1
BBS12	122732702	122744942	4
RPL12P3	33272262	33272657	20
	31487589	31488930	1
SSTR1	38207904	38213067	14
CCDC77	389273	442642	12
AVPI1	97677424	97687241	10
ATP5PBP1	51598416	51599460	13
	57487718	57517559	19
DHRS12	51767993	51804162	13
	17349053	17351703	11
	43190101	43202599	20
NUCB2	17208153	17349980	11
	122815771	122816117	4
OR1F2P	3215611	3216543	16
	31571585	31575573	1
	3188204	3224779	16
LINC01225	31500085	31509648	1
OR1F1	3204247	3205188	16
CNOT4P1	20921664	20923233	13
NUDT6	122888697	122922968	4
DNAJC5B	66021560	66100526	8
POLG	89305198	89334861	15
	32013061	32013368	2
DPY30	31867809	32039805	2
EIF1AY	20575776	20593154	Y
GCLC	53497341	53616970	6
TINAGL1	31576485	31587686	1
	85750336	85752901	15
MDGA2	46840092	47675605	14
	35685940	35689373	22
MROH5	141439731	141455651	CHR_HSCHR8_5_CTG7
	11552366	11552847	18
LINC00440	89273203	89280240	13
	16586905	16589409	19
MRPS16P3	35703803	35704176	22
	16639967	16640668	19
SLC35G4	11609596	11610612	18
SLC35E1	16549831	16572415	19
SP3P	89361160	89363224	13
	52648634	52649866	15
PTGER4P2	62838824	62844276	9
LINC01040	89477608	89500509	13
	52577842	52598709	15
CDK2AP2P2	62844818	62845184	9
	11618208	11618315	18
	122840343	122840690	4
APOL5	35717872	35729483	22
	122881878	122884712	4
FAM214A	52581317	52709817	15
FGF2	122826708	122898236	4
ADGRF5P1	62860873	62864957	9
KIR2DL4	54803627	54814543	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	35212550	35214007	11
	141443230	141443856	CHR_HSCHR8_5_CTG7
	62856999	62898087	9
DEFB110	50009138	50021981	6
LINC00353	89548691	89553804	13
TCTE3	169740114	169751587	CHR_HSCHR6_1_CTG4
LINC02336	89551233	89552389	13
TMEM272	51813347	51845177	13
RPL7L1P1	89833157	89833941	13
FBXL4	98868535	98948006	6
HCN2	589881	617159	19
	11620717	11621158	18
DEFB112	50042144	50049874	6
NPIPB1P	11619509	11639699	18
RPL36AP21	18049232	18049872	5
	109644115	109648084	8
LINC02100	18704433	18746173	5
	51763951	51845159	13
	50093610	50181007	6
	16764346	16766883	6
MEMO1	31865060	32011230	2
RPL7P4	30696806	30697535	6
UBE2V1P12	18886622	18887095	5
PEX12P1	89991831	89992878	13
SNRPCP10	75521803	75522012	3
	50514035	50521104	6
	20079114	20124857	8
RPS3AP15	75542149	75542929	3
RPL30P9	20113343	20113672	8
	75540049	75580199	3
	62897449	62900104	9
	27313723	27316587	10
TRAPPC2	13712244	13734635	X
	27331357	27341252	10
	590430	591300	19
ACCSL	44047981	44059977	11
MDC1	30699807	30717447	6
TRIM31	30093221	30103423	CHR_HSCHR6_MHC_DBB_CTG1
	54360973	54365019	CHR_HSCHR19LRC_PGF1_CTG3_1
FGF7P8	62888535	62889921	9
MYO5BP2	62857208	62858484	9
TTYH1	54345546	54367221	CHR_HSCHR19LRC_PGF1_CTG3_1
CMBL	10275875	10307902	5
KIR2DL5A	54877583	54887079	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	16551773	16552328	19
	44759037	44775810	1
	16565551	16566330	19
	4673830	4696831	17
CALR3	16479057	16496192	19
IGHV3-57	106643575	106643854	CHR_HSCHR14_3_CTG1
RPS8	44775251	44778779	1
PELP1	4669774	4704337	17
	24052465	24059615	CHR_HSCHR22_1_CTG7
TP53INP1	94925972	94949378	8
	11473727	11474237	Y
	124514938	124516056	9
TSPEAR-AS2	44517216	44525952	21
LINC01226	31506226	31583306	1
DMC1	38518948	38570204	22
IGHV1-58	106647038	106647536	CHR_HSCHR14_3_CTG1
RCC2P1	11781052	11782527	Y
ASS1P6	11922536	11923769	Y
KRTAP12-3	44657932	44658341	21
KRTAP10-10	44637356	44638455	21
PPIAP42	57718044	57718530	11
KRTAP10-13P	44702221	44702791	21
RPS15AP3	47444106	47444494	14
KRTAP10-9	44627123	44628293	21
RPA2P1	46996454	46997174	14
	35407770	35408493	19
LINC01531	35399511	35419385	19
RPL13AP2	47200575	47201104	14
UGDH-AS1	39528019	39594707	4
IGHVII-60-1	106662399	106662654	CHR_HSCHR14_3_CTG1
	87410644	87411388	4
IGHV3-60	106655878	106656334	CHR_HSCHR14_3_CTG1
IGHV4-61	106663800	106664338	CHR_HSCHR14_3_CTG1
UGDH	39498755	39528311	4
	124770123	124772927	9
KRTAP10-6	44591268	44592505	21
	75590298	75590649	3
IGHV4-59	106651930	106652506	CHR_HSCHR14_3_CTG1
OR7E121P	75598652	75599673	3
KRTAP12-2	44666189	44666927	21
CTNND1	57753243	57819546	11
	124598707	124599580	9
CPAMD8	16892947	17026815	19
UNC93B3	75619506	75623849	3
KRTAP12-6P	44686358	44686629	21
KRTAP12-1	44681576	44682163	21
MIR181A2HG	124658467	124698631	9
KRTAP10-2	44550357	44551505	21
	24060497	24062557	CHR_HSCHR22_1_CTG7
NR6A1	124517275	124771311	9
	94950037	94951396	8
	2944035	2947091	7
KRTAP10-1	44538981	44540195	21
MXRA5Y	11957208	11987386	Y
PLEKHM1	45435832	45490687	CHR_HSCHR17_1_CTG5
SMIM7	16630751	16660442	19
TSPEAR-AS1	44506807	44516575	21
CARD11	2906141	3043945	7
CABIN1	24065455	24065991	CHR_HSCHR22_1_CTG7
KDM5A	280129	389454	12
PWWP3A	1354711	1378431	19
	94891239	94892107	8
	94974573	94974853	8
	3754099	3754840	6
	31421997	31427302	19
NCOA1	24491914	24770702	2
IGHV3-62	106667823	106668266	CHR_HSCHR14_3_CTG1
TSPEAR	44497892	44711572	21
	31465653	31466431	19
	31542039	31554797	19
	19792294	19793094	22
GNB1L	19783223	19854939	22
MARVELD1	97713173	97718150	10
	31588040	31595720	19
KIF2C	44739818	44767767	1
KIR2DP1	54754958	54767824	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	31588196	31593781	19
FAM50B	3849373	3851320	6
TRIM31-AS1	30095564	30105041	CHR_HSCHR6_MHC_DBB_CTG1
KIR2DL3	54738479	54753050	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
MICB	31488393	31501409	CHR_HSCHR6_MHC_QBL_CTG1
LINC00559	90060247	90119719	13
KIR2DL1	54769810	54784323	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
FAR1P1	90170866	90171799	13
	11644336	11644824	18
	11666456	11670165	18
LINC01837	31797666	32072082	19
	3831933	3855737	6
MDC1-AS1	30703067	30713184	6
	3831936	3894292	6
	14195	16898	18
GPD1L	32105689	32168713	3
LINC02564	11103	15928	18
IGHVII-62-1	106675232	106675466	CHR_HSCHR14_3_CTG1
LINC01533	32025843	32056865	19
ZFYVE27	97737121	97760907	10
LRRC75B	24585620	24593208	22
TUBAP4	83739784	83740199	15
	83962176	83962583	15
UBXN6	4444999	4457794	19
ADAMTSL3	83654088	84039842	15
MEGF9	120600811	120714470	9
RTL10	19846138	19854896	22
	32151083	32151895	3
	52049007	52049754	19
PPIAP21	43230760	43231260	20
ZNF432	52031378	52095738	19
KRT18P27	90230384	90231682	13
LINC01049	90493287	90535080	13
NPM1P52	103016744	103017589	8
LINC00410	90890954	90926597	13
KIR3DL3	54724486	54736500	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
BRK1P2	91023732	91023954	13
NPAT	108157215	108222638	11
	17228279	17229151	11
CTSLP8	87844154	87847314	9
LINC00380	91087254	91089593	13
LINC00379	91127613	91131407	13
PPIAP23	91272081	91272577	13
SNRPD3	24555958	24582052	22
TBX1	19756703	19783593	22
ATP6V1C1	103021063	103073051	8
RPSAP11	32190747	32191627	3
MEMO1P1	36130489	36131376	21
	32236688	32238578	3
HEY1	79764010	79767857	8
ELOCP29	9182369	9183048	19
CIAO2A	64072565	64093857	15
OR7E16P	9191286	9192170	19
	9178979	9188817	19
TRIM40	30126433	30139059	CHR_HSCHR6_MHC_DBB_CTG1
OR7E25P	9198354	9210067	19
OR7D4	9210276	9219589	19
ZNF841	52064466	52095765	19
	4704816	4705217	17
	24598054	24599398	22
	4704230	4705529	17
GGT1	24556007	24629005	22
SNAPC1	61762420	61796428	14
OR7D1P	9235144	9236076	19
FTLP18	36630335	36630857	1
	45279423	45280474	15
RPS29P31	38574931	38575431	22
	36703953	36710582	1
STMND1	17102258	17131372	6
CNTNAP3P1	62924911	62934964	9
	53503185	53506919	6
MIR17HG	91347820	91354579	13
	53561289	53617171	6
