Gene	COSMIC	OncoKB	FM	MskImpact	MyCancerGenome	MyCancerGenomeClinTrial	CancerCommons	CancerGenomeInt	CarisMolIntel	JacksonLabs	NCI	CIVIC	cBioPortal	PEDStJude	PEDPfister	TCGABailey	Count
KIAA1549	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
KIAA1598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KIF5B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
KIT	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	15
KLF4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
KLF6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
KLK2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
KMT2A	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	9
KMT2C	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4
KMT2D	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	6
KNSTRN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KRAS	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	14
KTN1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LARP4B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LASP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LCK	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LCP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LEF1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
LEPROTL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LHFP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LIFR	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LMNA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LMO1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LMO2	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4
LPP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LRIG3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LRP1B	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	6
LSM14A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LYL1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
LZTR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
MAF	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MAFB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MALAT1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MALT1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MAML2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MAP2K1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	12
MAP2K2	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	6
MAP2K4	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	6
MAP3K1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
MAP3K13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MAPK1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	5
MAX	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
MB21D2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MDM2	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	8
MDM4	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	5
MDS2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MECOM	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
MED12	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	7
MEN1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
MET	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	13
MGMT	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	5
MITF	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	5
MKL1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MLF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MLH1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	7
MLLT1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
MLLT10	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
MLLT11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MLLT3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MLLT4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MLLT6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MN1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MNX1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MPL	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	6
MSH2	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	7
MSH6	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	9
MSI2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MSN	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MTCP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
MTOR	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	11
MUC1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
MUC16	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
MUC4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MUTYH	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
MYB	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4
MYC	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	10
MYCL	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
MYCN	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	9
MYD88	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	7
MYH11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
MYH9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
MYO5A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MYOD1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
N4BP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NAB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NACA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NBEA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NBN	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3
NCKIPSD	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NCOA1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NCOA2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NCOA4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NCOR1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
NCOR2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NDRG1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NF1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	10
NF2	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	7
NFATC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NFE2L2	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	6
NFIB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NFKB2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NFKBIE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NIN	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NKX2-1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	5
NONO	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NOTCH1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	12
NOTCH2	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	7
NPM1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	10
NR4A3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
NRAS	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	13
NRG1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	4
NSD1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
NT5C2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3
NTHL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NTRK1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	9
NTRK3	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	8
NUMA1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NUP214	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
NUP98	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
NUTM1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NUTM2A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
NUTM2B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
OLIG2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
OMD	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
P2RY8	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
PABPC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PAFAH1B2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PALB2	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	6
PAX3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PAX5	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	8
PAX7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PAX8	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PBRM1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	6
PBX1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PCBP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4
PCM1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PDCD1LG2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PDE4DIP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PDGFB	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	4
PDGFRA	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	13
PDGFRB	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	9
PER1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
PHF6	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	5
PHOX2B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PICALM	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PIK3CA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16
PIK3CB	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	6
PIK3R1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	8
PIM1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	4
PLAG1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PLCG1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
PML	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	5
PMS1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
PMS2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	5
POLD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLE	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	4
POLG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLQ	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
POT1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
POU2AF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
POU5F1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
PPARG	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PPFIBP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPM1D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
PPP2R1A	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
PPP6C	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
PRCC	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PRDM1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
PRDM16	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PRDM2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PREX2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PRF1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
PRKACA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKAR1A	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
PRKCB	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
PRPF40B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRRX1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PSIP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
PTCH1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	11
PTEN	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	14
PTK6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PTPN11	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	9
PTPN13	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
PTPN6	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
PTPRB	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
PTPRC	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3
PTPRD	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6
PTPRK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PTPRT	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
PWWP2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
QKI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RABEP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RAC1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	4
RAD17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD21	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4
RAD51B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RAF1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	9
RALGDS	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RANBP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAP1GDS1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RARA	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	6
RB1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	12
RBM10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
RBM15	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RECQL4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
REL	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RET	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	13
RFWD3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RGPD3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RGS7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RHOA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4
RHOH	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RMI2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RNF213	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RNF43	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
ROBO2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ROS1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	13
RPL10	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	4
RPL22	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
RPL5	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
RPN1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RSPO2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RSPO3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RUNDC2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RUNX1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	10
RUNX1T1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
S100A7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SALL4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SBDS	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SDC4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SDHA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SDHAF2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SDHB	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
SDHC	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SDHD	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
5-Sep	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
6-Sep	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
9-Sep	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SET	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SETBP1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	5
SETD1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SETD2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	7
SF3B1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	8
SFPQ	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SFRP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SGK1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	4
SH2B3	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	5
SH3GL1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SIRPA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
SIX1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
SIX2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
SKI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC34A2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SLC45A3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SMAD2	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	6
SMAD3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
SMAD4	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	9
SMARCA4	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	9
SMARCB1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	9
SMARCD1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SMARCE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SMC1A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
SMO	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	11
SND1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SOCS1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	5
SOX2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
SOX21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SPECC1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SPEN	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
SPOP	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
SRC	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	8
SRGAP3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SRSF2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4
SRSF3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SS18	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SS18L1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SSX1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SSX2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
SSX4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
STAG1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
STAG2	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	8
STAT3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
STAT5B	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4
STAT6	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
STIL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STK11	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	9
STRN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SUFU	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	6
SUZ12	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4
SYK	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	4
TAF15	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TAL1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
TAL2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
TBL1XR1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
TBX3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
TCEA1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TCF12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
TCF3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4
TCF7L2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
TCL1A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TEC	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
TERT	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	6
TET1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TET2	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	7
TFE3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TFEB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TFG	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TFPT	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TFRC	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TGFBR2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
THRAP3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
TLX1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
TLX3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
TMEM127	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TMPRSS2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
TNC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFAIP3	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
TNFRSF14	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
TNFRSF17	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TOP1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	7
TP53	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	12
TP63	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TPM3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
TPM4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TPR	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRAF7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRD	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRIM24	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRIM27	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRIM33	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRIP11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TRRAP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
TSC1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	8
TSC2	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	8
TSHR	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	5
U2AF1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	5
UBR5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
USP44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
USP6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
USP8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VAV1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
VHL	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	10
VTI1A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
WAS	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
WHSC1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
WHSC1L1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
WIF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
WNK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WRN	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
